Variable,Coeficiente
age,-0.09400239212053121
sex,0.41817192134961134
cp,0.629668557206491
trestbps,0.2959847793257483
restecg,0.3561652104828325
thalach,-0.5122314393333959
exang,0.4807500884134458
oldpeak,0.345643930406982
slope,0.3583589840017349
ca,0.8410860994409505
thal,0.672091549960604
